model,precision,words,story
TinyStories-Instruct-1M,fp32,245,"Possible story:

Ben was a little boy who liked to play with his toys. He had a big box of toys, a big box. He wanted to see what was inside the box. He asked his mom, ""Can I open it, please?""

His mom said, ""No, Ben, you can't open the box. It is too heavy for you. It is too heavy for you.""

Ben was sad. He wanted to see the moon. He wanted to see what was inside. He saw a big, red moon. He wanted to see what was inside. He saw a big, red moon. It was a moon. It was a moon. It was a moon.

Ben said, ""Look, Mom, I found a moon. It is so bright. It is so bright and bright. It is so bright and bright. It has stars and stars. It has stars and stars. It has stars and stars. It is very pretty.

Ben said, ""Wow, look at the moon. It is so pretty. It is so pretty. It is so pretty. It can make it look pretty. It is very pretty. It has stars and stars. It has stars and stars. It has stars and stars. It is very pretty. It has stars and stars. It has stars and stars. It is very pretty. It has stars and stars. It has stars and stars. It is very pretty. It has stars and stars. It has stars and stars. It has stars and stars."
TinyStories-Instruct-1M,bf16,239,"Possible story:

Ben was a little boy who liked to play with his toys. He had a big box of toys, a big box and a big box. He wanted to see what was inside. He asked his mom, ""Can I open the box, please?""

His mom said, ""No, Ben, you can't open the box. It is too big and heavy. It is not safe. It is not safe. It is not safe. It is a big, heavy box. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It is locked. It"
TinyStories-Instruct-1M,int8,252,"Possible story:

Ben was a little boy who liked to play with his toys. He had a big, red ball that he liked to play with. He had a red ball, a blue ball, a blue ball, and a blue ball. He liked to play with his ball and run around the house.

One day, Ben saw a big, red ball in the yard. He wanted to play with it. He ran to the ball and ran to the ball. He ran to the ball and said, ""Look, Mom! I found a ball!""

His mom looked at the ball and said, ""That's a ball, Ben. It's a ball. It is a ball. It can be fun. Do you want to play with it?""

Ben nodded. He wanted to play with the ball. He took the ball and ran to the ball. He threw it in the air and it flew high in the air. He felt the wind in his hair and the ball. He felt happy.

He ran to his mom and said, ""Mom, I saw a big ball. It is a ball. It is a ball. It is a ball. It has a ball and a ball. It is a ball. It has a ball and a ball. It has a ball. It has a ball. It has a ball. It has a ball. It has a ball. It has a ball. It has a ball. It has a ball. It has a ball. It has a ball. It has"
TinyStories-Instruct-1M,int4,115,"Lily was named Lily. She was very small and it was very pretty. Lily was scared and she didn't know. She wanted to see a big, scary noise.

""Hi! What are! Welcome! Do you know what is so,,,? ""What's a big, look! What is! Welcome are going to see what is so,,,, and you're going to see anything. It is so, and it's called you to see anything.”

Lily felt scared her little girl. She wanted to see a big, scary noise. She looked inside the door it was so, and it was so big andnaments. She looked in the sky was so small andnaments. The end, small things may seem to unlock things andnaments."
TinyStories-Instruct-3M,fp32,265,"Possible story:

Ben was a big boy who liked to play with his toys. He had a lot of toys, but his favorite was a big red car that he could drive. He liked to make it go fast and make loud noises.

One day, he saw a big red button on the wall. He wanted to see what was inside. He pushed the button and heard a loud noise. He turned around and saw a big red button. He did not know what it was.

""Who is this?"" he asked his grandma.

""It is a button, Ben. It is a button that can make things go fast and make noises. Do you know what it is?"" she said.

Ben looked at the button and saw that it was not a button. It was a button that could make things go fast and make noises. He felt a little scared.

""I don't know, grandma. Maybe it is a button. Maybe it is a button. Maybe it is a button. Maybe it can make things go fast and make noises. Maybe it can make noises and make noises. Maybe it can make noises and make noises. Maybe it can make noises and make noises. Maybe it can make noises and make noises. Maybe it can make noises and make noises. Maybe it can make noises and make noises. Maybe it can make noises and make noises. Maybe it can make noises and make noises. Maybe it can make noises and make noises. Maybe it can make noises and make noises. Maybe it can make noises and"
TinyStories-Instruct-3M,bf16,237,"Possible story:

Ben was a little boy who liked to play with his toys. He had a big sister named Lily who liked to play with her. She had a doll, a doll, and a doll. Ben liked to make her talk and laugh.

One day, Ben and Lily went to the park with their mom. They saw a big tree with a hole in it. Ben wanted to see what was inside. He asked his mom, ""Can we go inside the hole?""

His mom said, ""No, Ben, it is not safe. It is very deep and dangerous. You might get hurt or hurt yourself.""

Ben was sad. He wanted to play with Lily. He said, ""But mom, I want to see the moon. It is so pretty and pretty.""

His mom said, ""Ben, you can't go inside the hole. It is not safe. It is dangerous. You might get hurt or hurt yourself.""

Ben said, ""But mom, I want to see the moon. It is so pretty and pretty.""

His mom said, ""Ben, you can't go inside the hole. It is not safe. It is dangerous and can hurt you. You have to be careful and stay away from the hole. You have to be careful and listen to me.""

Ben said, ""I'm sorry, mom. I will be careful. I will be careful and listen to me.""

His mom said, ""I love you, Ben. Now, let's"
TinyStories-Instruct-3M,int8,256,"Possible story:

Ben was a big boy who liked to play with his toys. He had a lot of toys, but his favorite was a big red car that he could drive on. He liked to make noises and pretend he was driving the car.

One day, he saw a big red car parked on the street. It was a big red car that looked like a real car. Ben wanted to drive it, but he did not know how. He asked his mom, ""Mom, can you help me drive the car?""

His mom smiled and said, ""Sure, Ben. I will help you. But first, you have to be careful with the car. It is very fast and you might get hurt.""

Ben nodded and said, ""Okay, mom. I will be careful. I will be careful."" He drove the car around the house, making noises and noises. He was having fun.

But then, he saw a big red car coming towards him. It was a big red car that had a long horn. Ben was scared and ran to his mom. He said, ""Mom, mom, there is a big red car in the car. It is not a toy. It is a big red car. It is a big red car. It is not a toy. It is a big red car. It is not a toy. It is a big red car. It is not a toy. It is a big red car. It is a big red car. It is very big and shiny."
TinyStories-Instruct-3M,int4,244,"Possible story:

Ben was a very impatient boy. He liked to go to his grandma's house. She was a big girl and she was busy. She had a lot of things to do. She took Ben's things and made him feel bad.

One day, Ben and her grandma went to the attic. She wanted to see the things. She saw a big box of jewelry box. She wanted to use it. She asked her grandma.

""Grandma,"" Ben said. ""Mommy, grandma's jewelry. I don't know what is inside. I don't know what is inside.""

Grandma looked at the box. She saw the jewelry. It was shiny and had a lot of jewelry. She had a lot of jewelry that she used to make a lot of jewelry.

""Wow, this is for you,"" Ben said. ""Can I have a jewelry too?""

""Sure, grandma,"" grandma said. ""But you have to follow the rules. You can also follow the rules. You can also follow the rules. That is a good thing to do. Do you know what you are in those things?""

Ben looked at the rules. He saw the jewelry on the shelf. He saw the jewelry on the shelf. He wanted to try it. He grabbed a small piece of jewelry and put it on the floor. He put the jewelry on the floor and saw the jewelry on the floor. It was a lot of jewelry.

""Wow, this is a nice thing to look at."
TinyStories-Instruct-8M,fp32,239,"Possible story:

Ben and Lily were playing in the garden. They liked to look at the moon and the stars. They saw a big, round moon in the sky. It was very bright and shiny.

""Wow, look at that moon!"" Ben said. ""It is so big and bright. I want to touch it.""

""Me too,"" Lily said. ""But how can we get it?""

They looked around and saw a ladder leaning on the wall. They had an idea.

""Maybe we can use the ladder,"" Ben said. ""We can use it to get the moon.""

""OK, let's try,"" Lily said. ""But we have to be careful. The ladder is very high and strong.""

They climbed the ladder and reached the moon. They were very happy. They hugged the moon and said, ""We did it! We got the moon!""

They climbed down the ladder and ran to the house. They told their mom and dad about their adventure. They said they wanted to go to the moon and see it again.

Their mom and dad smiled and said, ""That's wonderful, Ben and Lily. You are very brave and smart. But you also need to be careful. The moon is very high and very bright. You can't reach it. But you can still have fun. You can play with the moon and make it shine. You can make it shine too.""

Ben and Lily nodded and said, ""Yes, mom and dad. We"
TinyStories-Instruct-8M,bf16,228,"Possible story:

Ben and Lily were playing in the garden. They liked to look at the stars and the moon. They saw a big, round moon in the sky. It was very bright and shiny.

""Wow, look at that moon!"" Ben said. ""It is so big and bright. I want to touch it.""

""Me too,"" Lily said. ""But how can we get it?""

They looked around and saw a ladder leaning on the wall. They had an idea.

""Maybe we can use the ladder,"" Ben said. ""We can use it to get closer to the moon.""

""OK, let's try it,"" Lily said. ""But we have to be careful. The ladder is very high and the moon is very far away.""

They climbed the ladder and reached the moon. They touched it with their hands. It was soft and warm.

""Wow, it is so pretty,"" Ben said. ""But we have to be careful. The moon is very far away.""

""Yes, we have to be careful,"" Lily said. ""The moon is very far away. We have to look for it.""

They climbed the ladder and looked for the moon. They saw it in the sky. It was big and round and had many stars.

""Look, it is so pretty,"" Ben said. ""Let's touch it.""

""OK, but be careful,"" Lily said. ""The moon is very far away. We have to be"
