model,precision,words,story
TinyStories-Instruct-1M,fp32,153,"Once upon a time, there was a little girl named Lily. She was three years old and loved to explore. One day, she found a kitten in the garden. The kitten was very cute and had a big smile.

Lily wanted to help the kitten, so she asked her mommy if she could help. Her mommy said yes and they went to the garden.

When they got to the garden, Lily saw a kitten. She was so happy and wanted to help. She ran to the kitten and said, ""Look, Mommy! The kitten is so cute!""

Her mommy smiled and said, ""Yes, it is. But you have to be careful and take care of it.""

Lily was so excited to see the kitten and said, ""I'm glad I found it!""

Her mommy smiled and said, ""That's great, Lily. You are very kind and kind.""

Lily smiled and said, ""I love you too, mommy."""
TinyStories-Instruct-1M,bf16,155,"Once upon a time, there was a little girl called Lily. She was three years old and loved to explore. One day, she found a kitten in the garden. The kitten was very happy and she wanted to help it.

Lily decided to take the kitten home and put it in a jar. She put it in the jar and went to the garden. She saw a beautiful garden and decided to pick it up. She picked it up and put it in her pocket.

The kitten was so happy to see the kitten. It was a little kitten! Lily was so happy and thanked the kitten. She thanked the kitten and went to play with her mom.

The kitten was so happy that she had found a new friend. She thanked the kitten for her help and they became good friends. From that day on, Lily always looked for the kitten and the kitten."
TinyStories-Instruct-1M,int8,149,"Once upon a time, there was a little girl named Lily. She was three years old and loved to explore. One day, she found a kitten in the garden. She was so excited that she ran to the kitten and asked her mom if she could have a kitten. 

The kitten was so happy and she ran to the kitten. She ran and ran until she found a kitten. The kitten was so cute and cute! Lily was so happy and ran to the kitten. 

The kitten was so happy and she thanked her mom for her. She hugged the kitten and said goodbye. She was so happy that she had found a kitten. 

The kitten was so happy and she thanked her mom for her help. She went back to the garden and found a cozy spot to hide. She was so happy and grateful for the kitten."
TinyStories-Instruct-1M,int4,73,"Inside the woods were two birds. The birds were singing and birds and birds. The birds were singing and birds. One was a big birds had never a bird had been lost.

One day, like the birds had been singing. The birds were singing and birds. The birds were singing and birds. One was lost a little birds. One was lost a little was near the woods. The end, small birds and birds."
TinyStories-Instruct-3M,fp32,140,"Once upon a time there was a little girl named Lily. She was three years old and loved to explore the world around her. One day, she was walking in the garden when she saw something very strange. It was a kitten!

Lily was so excited and she ran to her mom. ""Mommy, look! A kitten!"" she said.

Her mom smiled and said, ""Yes, Lily. Let's take it home and take it home.""

Lily and her mom took the kitten home and put it in a special place. They took it home and put it in a special place.

The kitten was so happy to be back with its family. Lily was so happy to have found the kitten and she hugged it tightly.

The kitten purred and Lily smiled. She was so happy to have found a new friend."
TinyStories-Instruct-3M,bf16,165,"Once upon a time there was a little girl named Lily. She was three years old and loved to explore the world around her. One day, she was walking in the garden when she saw something very strange. It was a kitten!

Lily was so excited and she ran to her mommy and asked, ""Mommy, what is this kitten?""

Her mommy smiled and said, ""That's a kitten, Lily. It's very small and it's very small and it's very small. But it's very small and it needs a little bit of life.""

Lily was so happy to hear that she had found a kitten. She asked her mommy if she could take it home with her. Her mommy said yes and Lily was so excited to take the kitten home.

When they got home, Lily's mommy said, ""Let's take the kitten home and take care of it."" Lily was so happy to have a new kitten and she was so happy to have a new pet."
TinyStories-Instruct-3M,int8,175,"Once upon a time there was a little girl named Lily. She was three years old and loved to explore the world around her. One day, she was walking in the garden when she saw something very strange. It was a kitten!

Lily was so excited and she ran to her mommy and asked, ""Mommy, what is this kitten?""

Her mommy smiled and said, ""That's a kitten, Lily. It's very small and it's very small. But it's very small and it's very small. We need to find it.""

Lily was so excited to help the kitten. She asked her mommy, ""Can I help the kitten?""

Her mommy said, ""Yes, you can help the kitten. Let's take it to the house and find its mommy.""

So they went to the house and they found the kitten's mommy. She was so happy to see the kitten and she said, ""Thank you for helping me find my kitten. You are so brave!""

Lily smiled and said, ""I'm glad I could help. I'm glad I could help the kitten."""
TinyStories-Instruct-3M,int4,190,"Once upon a time there was a little girl named Lily. She was very brave and she was always brave. One day she was playing in the garden when she saw a small, old and sad one.

Lily asked her mommy, ""What's wrong, mommy. Can I help you?""

Her mommy said, ""Let's help her find your mommy. She is in the garden, and I'm here.""

Lily was scared, but her mommy was there. She said, ""Don't worry, Lily. I'll be there.""

Lily wanted to help her mommy. She looked around and saw a small, old, old, and a small, old, and a small, old, old, and a small, old, old, was a small, old, old, and sad.

Lily asked, ""Where is your mommy?""

""She is in the corner. I'm here!""

Lily said, ""What's your mommy?""

""It's your mommy. She's your mommy's me!""

Lily said, ""I'm here to help you. I'm so brave!""

Lily said, ""I'm here. I'm so brave!""

Lily said, ""Let's help. I'm sure you have a look!""

Lily and her mommy looked at the old, old, old, and saw that it was an old, old, old, old, old,"
TinyStories-Instruct-8M,fp32,169,"Once upon a time, there was a little girl named Lily. She was three years old and loved to explore. One day, she was walking in the garden when she saw something strange. It was a little kitten!

Lily was so excited that she ran to the kitten and said, ""Hi there! What's your name?""

The kitten meowed and Lily smiled. She said, ""My name is Lily. What's your name?""

The kitten meowed again and Lily said, ""My name is Lily. What's yours?""

The kitten meowed again and Lily said, ""My name is Emily. I'm so happy to meet you!""

Lily and Emily became the best of friends. They played together every day and had lots of fun.

One day, Lily said to Emily, ""I'm so glad you're here. I'm so glad I found you.""

Emily smiled and said, ""Me too! I'm so glad I found you.""

Lily and Emily were so happy to have each other. They were the best of friends and they were always happy together."
TinyStories-Instruct-8M,bf16,169,"Once upon a time, there was a little girl named Lily. She was three years old and loved to explore. One day, she was walking in the garden when she saw something strange. It was a little kitten!

Lily was so excited that she ran to the kitten and said, ""Hi there! What's your name?""

The kitten meowed and Lily smiled. She said, ""My name is Lily. What's your name?""

The kitten meowed again and Lily said, ""My name is Lily. What's yours?""

The kitten meowed again and Lily said, ""My name is Emily. I'm so happy to meet you!""

Lily and Emily became the best of friends. They played together every day and had lots of fun.

One day, Lily said to Emily, ""I'm so glad you're here. I'm so glad I found you.""

Emily smiled and said, ""Me too! I'm so glad I found you.""

Lily and Emily were so happy to have each other. They were the best of friends and they were always so happy."
