model,precision,words,story
TinyStories-Instruct-1M,fp32,168,"Once upon a time, there was a boy named Tom. Tom loved to build sandcastles and build sandcastles. One day, he decided to build a sandcastle. He built a sandcastle and built a sandcastle. He was so proud of his work.

Tom was so proud of his work. He had built a sandcastle with his bucket. He was so proud of his work. He had built a sandcastle with his bucket.

Tom was so proud of his work. He had built a sandcastle with his bucket. He was so proud of his work. He had built a sandcastle with his bucket.

Tom was so proud of his work. He had built a sandcastle with his bucket. He was so proud of his work.

He had built a sandcastle with his bucket. He was so proud of his work. He had built a sandcastle with his bucket.

Tom was so proud of his work. He had built a sandcastle with his bucket. He was so proud of his work."
TinyStories-Instruct-1M,bf16,139,"Once upon a time, there was a boy named Tom. Tom loved to build sandcastles and build sandcastles. One day, he decided to build a sandcastle. He was so excited to build a sandcastle.

Tom built a sandcastle and built a sandcastle. He was so proud of it. He was so proud of his work.

Tom built a sandcastle with his bucket. He was so proud of his work. He had built a sandcastle and built a sandcastle.

Tom was so proud of his work. He had built a sandcastle. He was so proud of his work.

Tom was so proud of his work. He had built a sandcastle with his bucket. He was so proud of his work.

Tom was so proud of his work. He had built a new sandcastle. He was so proud of his work."
TinyStories-Instruct-1M,int8,165,"Once upon a time, there was a boy named Tom. Tom loved to build sandcastles. One day, he decided to build a sandcastle. He built a sandcastle and built a sandcastle. He was so proud of it.

Tom was so excited! He wanted to build a sandcastle. He put his bucket in a bucket and started to build a sandcastle. He built a sandcastle and built a sandcastle.

Tom was so proud of his work. He had built a sandcastle. He was so proud of his work. He had built a sandcastle!

Tom was so proud of his work. He had built a sandcastle! He was so proud of his work. He had built a sandcastle and built a sandcastle.

Tom was so proud of his work. He had built a sandcastle and built a sandcastle. He was so proud of his work.

Tom was so proud of his work. He had built a sandcastle with his work. He was so proud of his work."
TinyStories-Instruct-1M,int4,119,"One day, there was a big waves. It was soy and it was so pretty. It was so pretty. It wanted to sail too.

One day, in a big wave went. It was a fun in the park. It was a big wave. The waves went up the sky. The waves were so, it could a big wave.

One day, in a big wave went. It was a wave. The wave was so, it could a big wave. The wave was so, it could it was so pretty.

The rest of, brave wave wanted to see the wave. It was a fun and it was so pretty.

The rest of, brave wave wanted to sail again.

The end, sparkly."
TinyStories-Instruct-3M,fp32,113,"Once upon a time, there was a little boy named Tom. Tom was very proud of his sandcastle. He loved to build things with it.

One day, Tom decided to build a sandcastle. He worked hard and soon he had built a big sandcastle. He was so proud of his sandcastle that he wanted to show it to everyone.

Tom worked hard and soon he was building a new sandcastle. He was so proud of his sandcastle that he wanted to show it to everyone.

Tom was so proud of his sandcastle and he was so proud of it. He had built a new sandcastle and he was so proud of his creation."
TinyStories-Instruct-3M,bf16,96,"Once upon a time, there was a little boy named Tom. Tom was very proud of his building. He wanted to build something special.

Tom went to the beach and started to build a sandcastle. He worked hard and soon he was building a big sandcastle.

Suddenly, a big wave came and washed the sand away. Tom was so proud of his sandcastle. He ran back to his house and started building a new one.

Tom was so proud of his building. He had built a new one and he was so proud of his creation."
TinyStories-Instruct-3M,int8,113,"Once upon a time, there was a little boy named Tom. Tom was very proud of his building. He wanted to build something new.

One day, Tom decided to build a sandcastle. He worked very hard and soon he was building a new sandcastle.

Tom was so proud of his creation. He had built a big sandcastle and he was so proud of his creation.

Tom was so proud of his creation. He had built a new sandcastle and he was so proud of his creation.

Tom was so proud of his building and he was so proud of his creation. He had built a new sandcastle and it was so much fun!"
TinyStories-Instruct-3M,int4,139,"Once there was a very proud little boy named Tom. He loved to build things with his blocks. He had a big bucket and he would make a big, tall wall.

One day, Tom was building a new, big, tall wall. He was so proud of his creation, he wanted to build something special. So Tom decided to build something special. He worked very hard and he was so proud.

He worked very hard and he was so proud. He built a beautiful, tall, tall wall. Tom was so proud of his creation, he was so proud of his creation.

Tom was so proud of his creation he was so proud of his creation. He was so proud of his creation and he knew it would be the most proud little boy in the little boy had ever one."
TinyStories-Instruct-8M,fp32,130,"Once upon a time, there was a boy named Tom. Tom was very proud of his sandcastle. He wanted to build it even bigger and better. So he went to the beach and started to build.

Tom worked hard and built a big sandcastle. He was so proud of it. He was so proud of it.

Suddenly, a big wave came and washed away his sandcastle. Tom was sad. He wanted to build it even bigger.

But then he had an idea. He started to build a new sandcastle further up the beach. He worked hard and built it even bigger than before.

Tom was so proud of his new sandcastle. He was proud of it too. He was proud of his sandcastle and he was proud of it too."
TinyStories-Instruct-8M,bf16,128,"Once upon a time, there was a boy named Tom. Tom was very proud of his sandcastle. He wanted to build it even bigger and better. So he went to the beach and started to build.

Tom worked hard and built a big sandcastle. He was so proud of it. He was so proud of it.

Suddenly, a big wave came and washed away his sandcastle. Tom was sad. He wanted to build it even bigger.

But then he had an idea. He started to build a new sandcastle further up the beach. He worked hard and built it even bigger.

Tom was so proud of his new sandcastle. He was proud of it too. He was proud of his sandcastle and he was proud of it too."
