model,precision,words,story
TinyStories-Instruct-1M,fp32,172,"Once upon a time, there was a little girl named Anna. She was three years old and loved to play with her red balloon. One day, she went to the park and saw a shiny rock. She wanted to add it to her balloon, but it was too hard.

Anna asked her mom, ""Can I have a balloon?""

Her mom said, ""Yes, but be careful. The rock is very shiny and it can be shiny.""

Anna was so excited. She wanted to trade her balloon, but she was too small. She asked her mom, ""Can I have a balloon?""

Her mom said, ""Yes, you can have it. But first, you have to give it to you.""

Anna was sad, but she knew she had to give her balloon. She said, ""Okay, I will give it to you.""

So, she took the balloon and put it in her pocket. She was so happy! She thanked her mom and said, ""Thank you, Mom!""

Her mom smiled and said, ""You're welcome, Anna. You're the best!"""
TinyStories-Instruct-1M,bf16,174,"Once upon a time, there was a little girl called Anna. She was three years old and loved to play with her red balloon. One day, she went to the park and saw a shiny red rock. She wanted to add it to her balloon, but it was too hard for her.

Anna asked her mom, ""Can I have a shiny rock, please?"" Her mom said, ""No, Anna, it's too heavy for you."" Anna was sad, but she knew she had to be careful.

Suddenly, the rock started to glow and the rock started to glow. Anna was so excited! She couldn't believe her eyes. But then, something unexpected happened. The rock started to glow! Anna was so surprised!

But then, something unexpected happened. The rock started to glow! It was a big, shiny rock! Anna was so surprised! She couldn't believe it! She was so surprised!

But then, something unexpected happened. The rock started to glow! It was a magical rock! Anna was so happy! She had never seen anything like it before."
TinyStories-Instruct-1M,int8,199,"Once upon a time, there was a little girl named Anna. She was three years old and loved to play with her red balloon. One day, she went to the park to play with her balloon. She saw a shiny rock and decided to trade it.

Anna was so excited! She ran to the rock and started to trade her balloon. But when she got there, she saw something shiny in the sky. It was a shiny rock! She was so excited!

But then, something unexpected happened. The rock started to glow! It was a big, shiny rock! Anna was so excited! She wanted to trade her balloon with her balloon.

But then, something unexpected happened. The rock started to glow! It was a big, shiny rock! Anna was so surprised! She was so surprised! She couldn't believe her luck.

But then, something unexpected happened. The rock started to glow! It was a magical rock! Anna was so surprised! She was so surprised! She was so surprised!

But then, something unexpected happened. The rock started to glow! It was a magical rock! It was a magical rock! Anna was so happy! She had never seen anything like it before."
TinyStories-Instruct-1M,int4,132,"Lucy was named Lucy. She was very pretty and always happy. One was a big andnam friend who lived in the forest had been sad because it was her friend. One day, fit who was very small and needed to eat something special.

One day, fit a big, shiny red balloon. Lily wanted to a big tree. She wanted to a big tree. One was a littlenaments on the trees had never a little birds. The wind was full, it was a big andnaments. The wind was very small andnaments. The wind was very small andnaments. The wind was very small andnaments.

One day in a big problem was a big andnaments, a big tree with a big tree tree. The end the bird could a big tree with the small things."
TinyStories-Instruct-3M,fp32,268,"Possible story:

Anna liked to trade toys with her friends. She had many toys, but her favorite was a red balloon. She took it everywhere she went. She wanted to trade it for a shiny rock.

One day, she found a big rock in the park. She thought it would be fun to trade her balloon for a shiny rock. She took the rock and ran to the pond. She put the rock in the water and waited for it to go away.

But then, something unexpected happened. The rock started to move! Anna was surprised. She did not know that the rock was moving. She looked around and saw a big, green frog. The frog was not real. It was a big, green frog.

The frog said, ""Hello, I am a magic frog. I can make your balloon come to life. I can make your balloon come to life. I can make your balloon come to life. I will make your balloon come to life. I will make your balloon come to life. I will make your balloon come to life. I will make your balloon come to life. I will make your balloon come to life. I will make your balloon come to life. I will make your balloon come to life. I will make your balloon come to life. I will make your balloon come to life. I will make your balloon come to life. I will make your balloon come to life. I will make your balloon come to life. I will make your balloon come to life. I will make your balloon come"
TinyStories-Instruct-3M,bf16,258,"Possible story:

Anna liked to trade toys with her friends. She had many toys, but her favorite was a red balloon. She took it everywhere she went. She wanted to trade with her friends.

One day, she found a big red balloon in the park. It was red and shiny and had a long neck. She wanted to trade it for a shiny rock. She took the balloon and ran to the pond. She put the balloon in the water and waited for it to swim.

But when she got to the pond, she saw something strange. The balloon was not a balloon. It was a big, red rock. Anna was sad and angry. She wanted the rock back. She ran to the pond and tried to get the rock. But the rock was too big and too heavy.

She saw a man with a hat and a hat. He was wearing a hat and a hat. He had a hat and a hat. He had a hat and a hat. He had a hat and a hat. He had a big hat and a hat. He had a hat and a hat. He had a hat and a hat.

Anna ran to the man and said, ""Can I have the rock? I want it. It is mine.""

The man said, ""No, you can't. You have to give it back. It is not yours. You have to give it back. You have to give it back. You have to give it back.""

Anna was angry. She did not"
TinyStories-Instruct-3M,int8,213,"Once upon a time there was a little girl named Anna. She was three years old and loved to play with her red balloon. One day, Anna was playing with her balloon when she noticed something strange. She saw a shiny rock on the ground. She picked it up and noticed that it was a shiny rock. She was so excited and decided to trade it for the rock.

Anna took the rock and went to the park. She saw a big, green rock and she wanted to trade it for the rock. She took the rock and started to trade it for the rock. But when she did, the rock was not shiny anymore! It was so big and it was so big that Anna couldn't see it.

Anna was so sad and she started to cry. She wanted to make the rock look nice again. But then she noticed something strange. The rock was not a rock at all! It was a big, shiny rock. Anna was so surprised and she couldn't believe what had happened. She had found the rock and it was even more beautiful than the rock!

Anna was so happy and she thanked the rock for the shiny rock. She never forgot the rock and the rock."
TinyStories-Instruct-3M,int4,252,"Once upon a time, there was a little girl named Anna. She was only three years old and she loved to play with her red ball.

One day, Anna was playing with her red ball when she saw something shiny. It was a shiny rock that was made of shiny, and sparkled with a big smile.

Anna was so excited that she wanted to have a look. She asked her mom, and she said, ""Let's both with the shiny thing, let's both use it!""

But her mom said, ""No, it's not nice. We should not be mad at all.""

Anna was sad, but she knew she had to use the shiny thing. She took it and started to use it.

But then, something happened. As Anna was playing with her shiny, shiny, and she accidentally started a strange, strange thing. The shiny thing was making a strange sound!

Anna was scared, and she started to cry.

But then, she had an idea. She remembered that the shiny thing was a strange thing to look at and she was sure it was just a piece of the sound.

But as she looked, the sound was coming from a strange, strange sound. It was coming from a nearby, and it was coming from a nearby nearby nearby.

Anna was so confused that she had lost a strange thing. She had accidentally stepped on a nearby, and it was coming from a nearby nearby nearby.

The sound was coming from a nearby, strange, strange sound"
TinyStories-Instruct-8M,fp32,128,"Once upon a time, there was a little girl named Anna. She was very happy and loved to play. One day, she was playing in the park and she saw a shiny red balloon. She wanted it so badly, so she decided to trade it for a shiny rock.

Anna was so excited to have the shiny rock. She took it home and put it in her pocket. She was so proud of her new balloon.

But then, something unexpected happened. When Anna went to show her mom the shiny rock, it was gone! She looked everywhere but couldn't find it.

Anna was very sad. She had wanted to keep the shiny rock, but it was gone. She had lost her special balloon and it was all gone."
TinyStories-Instruct-8M,bf16,127,"Once upon a time, there was a little girl named Anna. She was very happy and loved to play. One day, she was playing in the park and she saw a shiny red balloon. She wanted it so badly, so she decided to trade it for a shiny rock.

Anna was so excited to have the shiny rock. She took it home and put it in her pocket. She was so happy to have it.

But then, something unexpected happened. When Anna went to show her mom the shiny rock, it was gone! She looked everywhere but couldn't find it.

Anna was very sad. She had wanted to keep the shiny rock, but it was gone. She had lost her special balloon and it was all gone."
